Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
STS88,"Kennedy , LC-39A",,"4 December 1998, 08:35:34 ( 1998-12-04UTC08:35:34Z ) UTC","11 days, 19 hours, 18 minutes, 47 seconds.","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS%2088
STS-41,"Kennedy , LC-39B",,"October 6, 1990, 11:47:15 ( 1990-10-06UTC11:47:15Z ) UTC (7:47:15 am EDT )","4 days, 2 hours, 10 minutes, 4 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-41
STS-52,"Kennedy , LC-39B",,"October 22, 1992, 17:09:39 ( 1992-10-22UTC17:09:39Z ) UTC (1:09:39 pm EDT )","9 days, 20 hours, 56 minutes, 13 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-52
STS-64,"Kennedy , LC-39B",,"9 September 1994, 22:22:35 ( 1994-09-09UTC22:22:35Z ) UTC","10 days, 22 hours, 49 minutes, 57 seconds","Edwards , Runway 4",,https://en.wikipedia.org/wiki/STS-64
STS-73,"Kennedy , LC-39B",,"20 October 1995, 13:53:00 ( 1995-10-20UTC13:53Z ) UTC","15 days, 21 hours, 53 minutes, 16 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-73
STS-63,"Kennedy , LC-39B",,"February 3, 1995, 05:22:04 ( 1995-02-03UTC05:22:04Z ) UTC (12:22:04 am EST )","8 days, 6 hours, 28 minutes, 15 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-63
STS-102,"Kennedy , LC-39B",,"8 March 2001, 11:42:09 ( 2001-03-08UTC11:42:09Z ) UTC (6:42:09 am EST )","12 days, 19 hours, 49 minutes, 32 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-102
STS-113,"Kennedy , LC-39A",,"24 November 2002, 00:49:47 ( 2002-11-24UTC00:49:47Z ) UTC","13 days, 18 hours, 48 minutes, 38 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-113
STS-62,"Kennedy , LC-39B",,"4 March 1994, 13:53:01 ( 1994-03-04UTC13:53:01Z ) UTC","13 days, 23 hours, 16 minutes, 41 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-62
STS-81,"Kennedy , LC-39B",,"January 12, 1997, 09:27:23 ( 1997-01-12UTC09:27:23Z ) UTC","10 days, 4 hours, 56 minutes, 30 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-81
STS-98,"Kennedy , LC-39A",,"7 February 2001, 23:13 ( 2001-02-07UTC23:13Z ) UTC","12 days, 21 hours, 21 minutes, 0 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-98
STS-54,"Kennedy , LC-39B",,"January 13, 1993, 13:59:30 ( 1993-01-13UTC13:59:30Z ) UTC (8:59:30 am EST )","5 days, 23 hours, 38 minutes, 17 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-54
Soyuz 13,"Baikonur , Site 1/5",,"18 December 1973, 11:55:00 UTC",7 days 20 hours 55 minutes 35 seconds,"200 km at the southwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%2013
STS-65,"Kennedy , LC-39A",,"8 July 1994, 16:43:01 ( 1994-07-08UTC16:43:01Z ) UTC","14 days, 17 hours, 55 minutes","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-65
STS-79,"Kennedy , LC-39A",,"16 September 1996, 08:54:49 ( 1996-09-16UTC08:54:49Z ) UTC (4:54:49 am EDT )","10 days, 3 hours, 18 minutes and 24 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-79
STS-51,"Kennedy , LC-39B",,"September 12, 1993, 11:45:00 UTC","9 days, 20 hours, 11 minutes, 6 seconds (achieved)","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-51
Astro-1,,,,,,,
Astro-2,,,,,,,
STS-67,"Kennedy , LC-39A",,"March 2, 1995, 06:38:13 ( 1995-03-02UTC06:38:13Z ) UTC, 1:38:13 am EDT","16 days, 15 hours, 8 minutes, 48 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-67
Soyuz 27,"Baikonur , Site 1/5",,"10 January 1978, 12:26:00 UTC",65 days,310 km at west of Tselinograd,Soyuz-U s/n D15000-106,https://en.wikipedia.org/wiki/Soyuz%2027
Soyuz TM33/32,,,,,,,
Soyuz TM-11/10,,,,,,,
STS-56,"Kennedy , LC-39B",,"April 8, 1993, 05:29:00 ( 1993-04-08UTC05:29Z ) UTC (1:29 am EDT )","9 days, 6 hours, 8 minutes, 19 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-56
STS-59,"Kennedy , LC-39A",,"9 April 1994, 11:05 ( 1994-04-09UTC11:05Z ) UTC","11 days, 5 hours, 49 minutes, 30 seconds",Edwards Runway 22,,https://en.wikipedia.org/wiki/STS-59
STS-76,"Kennedy , LC-39B",,"22 March 1996, 08:13:03.999 UTC : 2","9 days, 5 hours, 15 minutes, 53 seconds (achieved)","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-76
STS-108,"Kennedy , LC-39B",,5 December 2001 22:19:28 ( 2001-12-05UTC22:19:28Z ) UTC,"11 days, 19 hours, 36 minutes, 45 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-108
STS-66,"Kennedy , LC-39B",,"November 3, 1994, 16:59:43.060 ( 1994-11-03UTC16:59:43Z ) UTC","10 days, 22 hours, 34 minutes, 2 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-66
Soyuz TM-12/11,,,,,,,
STS-96,"Kennedy , LC-39B",,"27 May 1999, 10:49:42 ( 1999-05-27UTC10:49:42Z ) UTC","9 days, 19 hours, 13 minutes, 57 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-96
STS-68,"Kennedy , LC-39A",,"September 30, 1994, 11:16:01 ( 1994-09-30UTC11:16:01Z ) UTC","11 days, 05 hours, 46 minutes, 08 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-68
Soyuz TM13/12,,,,,,,
STS-70,"Kennedy , LC-39B",,"July 13, 1995, 13:41:55.078 ( 1995-07-13UTC13:41:55Z ) UTC, (9:41:55 am EDT )","8 days, 22 hours, 20 minutes, 05 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-70
STS-78,"Kennedy , LC-39B",,"June 20, 1996, 14:49:00.0075 ( 1996-06-20UTC14:49Z ) UTC","16 days, 21 hours, 48 minutes, 30 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-78
STS-101,"Kennedy , LC-39A",,"19 May 2000, 10:11:10 ( 2000-05-19UTC10:11:10Z ) UTC , 06:11:10 am EDT","9 days, 21 hours, 10 minutes, 10 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-101
